Phase,Indicator,Cluster comparison,Z statistic,Adjusted p-value
Entry,max_abs_d_ddot,C1 vs C2,N/A,1.0
Entry,max_abs_d_ddot,C1 vs C3,N/A,1.0
Entry,max_abs_d_ddot,C1 vs C4,N/A,0.0007813735002910069
Entry,max_abs_d_ddot,C2 vs C3,N/A,1.0
Entry,max_abs_d_ddot,C2 vs C4,N/A,0.02357272298388492
Entry,max_abs_d_ddot,C3 vs C4,N/A,0.0002579635264995974
Entry,max_abs_d_dddot,C1 vs C2,N/A,1.0
Entry,max_abs_d_dddot,C1 vs C3,N/A,1.0
Entry,max_abs_d_dddot,C1 vs C4,N/A,0.0005549659450118096
Entry,max_abs_d_dddot,C2 vs C3,N/A,1.0
Entry,max_abs_d_dddot,C2 vs C4,N/A,0.2610299595653641
Entry,max_abs_d_dddot,C3 vs C4,N/A,0.00014521252261697233
Corner,max_abs_s_ddot,C1 vs C2,N/A,0.04853022034103373
Corner,max_abs_s_ddot,C1 vs C3,N/A,1.0
Corner,max_abs_s_ddot,C1 vs C4,N/A,0.9504111365678232
Corner,max_abs_s_ddot,C2 vs C3,N/A,0.00664577908949588
Corner,max_abs_s_ddot,C2 vs C4,N/A,0.0007493093729536017
Corner,max_abs_s_ddot,C3 vs C4,N/A,1.0
Corner,max_abs_s_dddot,C1 vs C2,N/A,0.2608548193960165
Corner,max_abs_s_dddot,C1 vs C3,N/A,1.0
Corner,max_abs_s_dddot,C1 vs C4,N/A,0.13175925543864403
Corner,max_abs_s_dddot,C2 vs C3,N/A,0.03278922232380617
Corner,max_abs_s_dddot,C2 vs C4,N/A,0.000484262938724969
Corner,max_abs_s_dddot,C3 vs C4,N/A,0.45747450362461817
Exit,max_abs_d_dddot,C1 vs C2,N/A,0.2834669188192547
Exit,max_abs_d_dddot,C1 vs C3,N/A,1.0
Exit,max_abs_d_dddot,C1 vs C4,N/A,0.0843376807013021
Exit,max_abs_d_dddot,C2 vs C3,N/A,0.014219673624199423
Exit,max_abs_d_dddot,C2 vs C4,N/A,0.0003138527281950446
Exit,max_abs_d_dddot,C3 vs C4,N/A,0.6773431482049399
Exit,max_abs_s_ddot,C1 vs C2,N/A,1.0
Exit,max_abs_s_ddot,C1 vs C3,N/A,0.6397688431830822
Exit,max_abs_s_ddot,C1 vs C4,N/A,0.2026462579254814
Exit,max_abs_s_ddot,C2 vs C3,N/A,0.20262456050022268
Exit,max_abs_s_ddot,C2 vs C4,N/A,0.06681151783799136
Exit,max_abs_s_ddot,C3 vs C4,N/A,1.0
